scheme_id,name,name_hi,description,description_hi,category,state,eligibility_age_min,eligibility_age_max,eligibility_gender,eligibility_income_max,eligibility_caste,eligibility_occupation,eligibility_disability,benefit_amount,benefit_type,application_url
NRLM,National Rural Livelihood Mission,राष्ट्रीय ग्रामीण आजीविका मिशन,Rural livelihood promotion,ग्रामीण आजीविका संवर्धन,Employment,All India,18,120,ANY,ANY,ANY,ANY,false,0,Skill Training,https://nrlm.gov.in
PMKVY,Pradhan Mantri Kaushal Vikas Yojana,प्रधानमंत्री कौशल विकास योजना,Skill development scheme,कौशल विकास योजना,Employment,All India,15,45,ANY,ANY,ANY,ANY,false,8000,Skill Training,https://www.pmkvyofficial.org
PMGSY,Pradhan Mantri Gram Sadak Yojana,प्रधानमंत्री ग्राम सड़क योजना,Rural road connectivity,ग्रामीण सड़क संपर्क,Infrastructure,All India,0,120,ANY,ANY,ANY,ANY,false,0,Infrastructure,https://pmgsy.nic.in
ICDS,Integrated Child Development Services,एकीकृत बाल विकास सेवाएं,Child nutrition and health,बाल पोषण और स्वास्थ्य,Health,All India,0,6,ANY,ANY,ANY,ANY,false,0,Nutrition Support,https://icds-wcd.nic.in
MDM,Mid-Day Meal Scheme,मध्याह्न भोजन योजना,Free meals for school children,स्कूली बच्चों के लिए मुफ्त भोजन,Education,All India,6,14,ANY,ANY,ANY,student,false,0,Free Meals,https://mdm.nic.in
NSAP,National Social Assistance Programme,राष्ट्रीय सामाजिक सहायता कार्यक्रम,Pension for elderly and disabled,वृद्ध और विकलांगों के लिए पेंशन,Social Welfare,All India,60,120,ANY,ANY,ANY,ANY,false,200,Monthly Pension,https://nsap.nic.in
PMAY-U,Pradhan Mantri Awas Yojana - Urban,प्रधानमंत्री आवास योजना - शहरी,Housing for urban poor,शहरी गरीबों के लिए आवास,Housing,All India,18,120,ANY,300000,ANY,ANY,false,250000,Housing Subsidy,https://pmaymis.gov.in
SVAMITVA,SVAMITVA Scheme,स्वामित्व योजना,Property rights for rural households,ग्रामीण परिवारों के लिए संपत्ति अधिकार,Social Welfare,All India,18,120,ANY,ANY,ANY,ANY,false,0,Property Card,https://svamitva.nic.in
PMAY-CLSS,PMAY Credit Linked Subsidy Scheme,पीएमएवाई क्रेडिट लिंक्ड सब्सिडी योजना,Interest subsidy on home loans,गृह ऋण पर ब्याज सब्सिडी,Housing,All India,18,120,ANY,1800000,ANY,ANY,false,267000,Interest Subsidy,https://pmaymis.gov.in
PMGKAY,PM Garib Kalyan Anna Yojana,पीएम गरीब कल्याण अन्न योजना,Free food grains for poor,गरीबों के लिए मुफ्त खाद्यान्न,Social Welfare,All India,0,120,ANY,ANY,ANY,ANY,false,0,Free Food Grains,https://dfpd.gov.in
PMJDY,Pradhan Mantri Jan Dhan Yojana,प्रधानमंत्री जन धन योजना,Financial inclusion scheme,वित्तीय समावेशन योजना,Financial Assistance,All India,10,120,ANY,ANY,ANY,ANY,false,0,Bank Account,https://pmjdy.gov.in
PMSSY,Pradhan Mantri Swasthya Suraksha Yojana,प्रधानमंत्री स्वास्थ्य सुरक्षा योजना,Healthcare infrastructure development,स्वास्थ्य सेवा बुनियादी ढांचा विकास,Health,All India,0,120,ANY,ANY,ANY,ANY,false,0,Healthcare Access,https://pmssy-mohfw.nic.in
DDUGKY,Deen Dayal Upadhyaya Grameen Kaushalya Yojana,दीन दयाल उपाध्याय ग्रामीण कौशल्य योजना,Rural youth skill training,ग्रामीण युवा कौशल प्रशिक्षण,Employment,All India,15,35,ANY,ANY,ANY,ANY,false,0,Skill Training,https://ddugky.gov.in
